context,question,answerA,answerB,answerC,Refined_ATOMIC_Label
Jesse showed Sydney's friends how to bake a cake but it was left in the oven too long and burned.,What will Jesse want to do next?,teach everyone how to bake,Give the cake to friends,Bake a new cake,oWant
Sasha had gotten a tutor to help her with history. Sasha started to improve slowly.,What does Sasha need to do before this?,needed to be doing poorly,needed to take a class,thank the tutor,xNeed
"Tracy brought the kids to their dentist appointment, but it was scheduled during the school day.",What does Tracy need to do before this?,Keep the kids home from school until after their appointments,Drop the kids off at school,falsify time sheets,xNeed
Jan wanted to make friends so she exchanged phone numbers with people she met.,How would Jan feel afterwards?,Excited,Tired,confident and outgoing,xReact
Sasha and others noticed Bob didnt have money for lunch. Sasha gave Bob some french fries.,What will Others want to do next?,offer to take Bob's money,ask Bob for food,share their fries,oWant
Casey's mother called Casey to tell her that she sent her a package by mail.,What does Casey need to do before this?,check their mailbox,have the package delivered by the post office,open the package,xNeed
Kai sold their clothes to the bidder at an auction when they didn't fit.,What will Kai want to do next?,give them away for free,help people in need,buy new clothes,oWant
Casey paid Jesse for the items they bought from them.,What will Casey want to do next?,enjoy the items they bought,need to buy the items,think about Jesse,oWant
Aubrey was walking in the park one day. Aubrey met a stranger at the park when she stopped at the pond.,How would Aubrey feel afterwards?,anxious,naive,happy,xReact
Alex helped Casey escape from the jail cell.,What will happen to Casey?,get arrested again,hide out with Alex,she will go to jail,oEffect
Carson tried to fight Robin last night while they were at a bar.,How would Carson feel afterwards?,aggressive,mean,upset,xReact
Carson ate Bailey's candy and took a nice long nap after eating the candy.,What will happen to Carson?,be upset,indifferent,proud,oEffect
Kendall grabbed Jordan's hands because Jordan was going to cross the street without looking.,What will Jordan want to do next?,listen to their parent,scream at their parents,be carefree,oWant
Quinn was starting to get the strength back in his legs after months of physical therapy.,How would Quinn feel afterwards?,proud of working so hard for months,upset at having done so little,persistent,xReact
Jordan felt bad after vandalizing a building so they paid their debt to society by cleaning up everything they had done.,How would you describe Jordan?,remorseful,clear-minded,proud,xAttr
Jan and their partner were going to a big new year's party at a bar downtown. Jan decided to leave the car keys at home and take a taxi.,Why did Jan do this?,drink at the party,take a taxi home,avoid paying for parking,xIntent
Tracy saw a robbery so he ran for his life to the police station where he was asked to fill out a report about the crime.,What will Tracy want to do next?,Write down what happened,Run back to the robber,Be placed in jail,oWant
"Kendall's shirt was very expensive, and they lost it over there.",How would Kendall feel afterwards?,accident prone,mad,happy,xReact
Lee challenged her to a fight by pointing his sword in her direction.,What will she want to do next?,get ready for battle,pick up a sword,put her sword away,oWant
Alex had been caught up in many crimes so one day Alex escaped to Mexico.,What will Others want to do next?,avoid getting caught,try to arrest Alex,get away from trouble,oWant
"Sydney appeared wounded, on the ground, so Kia Crowded around Sydney to assess the damage.",What does Kai need to do before this?,go to the hospital next,Be worried,Panic,xNeed
"Taylor wanted to break up Kai's romance with Tom, and spread rumors.",What will happen to Kai?,believe Taylor and break up with Tom,decide to become a nun instead,believe Taylor but still remain Tom's lover,oEffect
Robin let Carson explain to their parents what had happened at school.,What does Robin need to do before this?,think Carson shouldn't explain,be open,think Carson should explain,xNeed
Sasha heard a rumor and acted on it and saved their company from destruction.,Why did Sasha do this?,be unemployed,lose their job,get a raise,xIntent
"Riley sold Sydney's painting to the bidder, but they didn't have enough money.",What will Riley want to do next?,try selling it again,get more money,take the painting from the buyer,oWant
Casey's children were playing in a park next to Jesse's house.,Where will Casey take the children?,continue playing,avoid contact with Jesse,make them safe,oEffect
"Sydney went to our family farm, taking the trash with her, and set it on fire on the ground.",How would Sydney feel afterwards?,feeling strong,burning down,upset because the fire has gotten out of control,xReact
Austin was having a great day and felt wonderful.,What will Austin want to do next?,scowl at a stranger,smile at a stranger,enjoy it too,oWant
Austin just proved a way to predict cancer rates irrefutably.,What will Others want to do next?,share this knowledge with others,Laugh at Austin's accomplishment,Hire Austin for cancer research,oWant
Carson dropped the whole pizza on the floor. Carson was at a friend's house.,How would Carson feel afterwards?,bad that they ruined the food,excited that they did this,happy that they dropped the pizza,xReact
Robin has been sick in the ER and Alex has been right there by her side but he had to leave to go to work.,What will Robin want to do next?,call someone else to come stay at the hospital with her,visit after work,stay by Alex's side when he gets home,oWant
Robin called up Jan's friends for a girl's night out and went out.,How would you describe Robin?,happy,left out,friendly,xAttr
"Quinn was slicing ham at the deli, so Quinn turned the scale on.",What does Quinn need to do before this?,zero out the scale,weigh the ham,put the ham on the scale,xNeed
Quinn returned the tools back to the rightful owner.,What will Others want to do next?,borrow the tools Quinn had,make Quinn cry,go home,oWant
Sasha's team was playing terrible so took it upon herself to take over.,How would Others feel as a result?,proud of herself,happy about it,ashamed of their play,xReact
Bailey was at his friends house one day when the house next door caught on fire.,What will happen to Others?,leave their family in the burning house,lose their home in the fire,set someone else's house on fire,oEffect
